num_tokens,time_stamp
1,1773747360869
2,1773747360921
1,1773747360921
4,1773747360921
1,1773747360922
1,1773747360922
4,1773747360922
3,1773747360923
3,1773747360923
1,1773747360923
5,1773747360924
1,1773747360925
3,1773747360925
2,1773747360980
1,1773747360980
2,1773747360981
2,1773747360981
4,1773747360981
2,1773747360982
1,1773747360982
3,1773747360982
1,1773747360983
1,1773747360983
1,1773747360984
2,1773747360984
1,1773747360984
3,1773747360985
4,1773747360985
3,1773747360986
2,1773747360987
4,1773747361039
2,1773747361040
2,1773747361041
1,1773747361042
2,1773747361042
3,1773747361042
2,1773747361043
2,1773747361043
4,1773747361043
1,1773747361043
2,1773747361044
3,1773747361046
1,1773747361048
1,1773747361097
4,1773747361097
6,1773747361098
6,1773747361099
2,1773747361099
1,1773747361099
1,1773747361099
2,1773747361099
1,1773747361099
2,1773747361100
4,1773747361100
1,1773747361100
2,1773747361154
1,1773747361154
2,1773747361154
1,1773747361155
1,1773747361156
1,1773747361156
1,1773747361156
1,1773747361156
2,1773747361156
2,1773747361156
1,1773747361156
1,1773747361157
4,1773747361157
1,1773747361158
1,1773747361158
1,1773747361159
1,1773747361206
2,1773747361207
1,1773747361208
2,1773747361208
1,1773747361208
4,1773747361208
1,1773747361210
2,1773747361210
2,1773747361210
1,1773747361214
2,1773747361214
3,1773747361214
1,1773747361262
6,1773747361265
2,1773747361266
2,1773747361266
5,1773747361266
2,1773747361267
2,1773747361267
1,1773747361267
1,1773747361267
1,1773747361268
1,1773747361269
1,1773747361312
4,1773747361323
5,1773747361325
2,1773747361325
3,1773747361325
2,1773747361325
2,1773747361326
1,1773747361326
7,1773747361326
1,1773747361326
1,1773747361326
1,1773747361326
3,1773747361328
7,1773747361382
4,1773747361382
2,1773747361382
1,1773747361382
1,1773747361382
4,1773747361382
5,1773747361383
1,1773747361383
5,1773747361384
2,1773747361385
1,1773747361385
2,1773747361439
4,1773747361440
2,1773747361440
14,1773747361440
1,1773747361440
2,1773747361440
1,1773747361441
1,1773747361442
4,1773747361442
1,1773747361442
1,1773747361443
4,1773747361494
2,1773747361494
1,1773747361495
1,1773747361495
4,1773747361495
7,1773747361495
1,1773747361496
7,1773747361496
1,1773747361496
2,1773747361498
3,1773747361498
2,1773747361553
2,1773747361553
4,1773747361554
